,haupt_text,category,prediction
233,"Emmanuel Macron bemühte sich am Freitag, mit seiner Rede zum 150. Geburtstag der französischen Republik die Herzen und Geister seiner Landsleute zu erreichen, zu bewegen.Er sprach vor dem Pantheon, der Ehrenhalle für die illustren Toten der französischen Geschichte, ein Ort des Konsenses. Die Republik sei unteilbar, sagte er - ein altes Mantra, das Mut machen soll.",Kultur,Nachrichten
1955,"Es gehört zu den peinlicheren Details der jüngsten Geschichte, dass der glücklicherweise scheidende US-Präsident Donald Trump leider nicht nur der deutschen Kanzlerin in offenbar obsessiver Abneigung, sondern unserem ganzen Land familiär verbunden ist: Trumps Familie stammt aus Deutschland, sein Großvater war ein deutscher Einwanderer.",Kultur,Nachrichten
1547,Der Sportreporter Wolff Fuss wird ab der kommenden Saison Fußballspiele bei Sat.1 kommentieren. Das bestätigte der Sender. Zuvor hatten darüber die »Sport Bild« und das Internetportal »Sportbuzzer« berichtet. Fuss wird dennoch weiterhin für Sky am Mikrofon sitzen.,Kultur,Sport
5813,"Immer mehr Menschen wenden sich in Deutschland an die Antidiskriminierungsstelle des Bundes. Wie die Stelle in ihrem Jahresbericht mitteilte, wurde sie 2020 in 6383 Fällen aktiv. Dabei erteilte sie etwa rechtliche Auskunft, holte Stellungnahmen ein oder vermittelte gütliche Einigungen. Der Anstieg bedeutet einen Zuwachs von mehr als 78 Prozent im Vergleich zum Vorjahr. Damals waren es noch 3580 Fälle gewesen.",Nachrichten,Kultur
4059,"Der englische Fußballverband hat zu wenig unternommen, um Kindesmissbrauch zu verhindern. Zu diesem Ergebnis kam eine unabhängige Untersuchung, deren Ergebnisse nun veröffentlicht wurden. Die Football Association (FA) habe den Schutz von Kindern lange nicht ernst genommen und viel zu langsam gehandelt, hieß es in dem mehr als 700 Seiten langen Dokument. »Dies sind erhebliche institutionelle Mängel, für die es keine Entschuldigung gibt.«",Sport,Kultur
977,"In Wahrheit gehe es nicht um die Verteidigung von freier Rede, sondern um die Verlängerung von Macht angesichts eines sich immer breiter ausdifferenzierenden öffentlichen Diskurses: Das ist im Kern der Vorwurf eines offenen Briefes, der auf einen Debattenbeitrag vom Anfang der Woche reagiert.",Kultur,Nachrichten
5040,"Die Kanzlerin kann nicht aus ihrer Haut. Minutenlang referiert sie über die Probleme bei der Impfstoffherstellung, spricht über notwendige Umbauten in pharmazeutischen Produktionsstätten, über fehlende Kochsalzlösungen und Glasfläschchen, die die Lieferketten durcheinanderbringen könnten.",Nachrichten,Kultur
2768,"Greg Clarke merkte gar nicht, wie er sich aus dem Amt als Vorsitzender der traditionsreichen englischen Football Association redete. Er referierte bei einer Parlamentsanhörung am Dienstag über ""farbige"" Fußballer und unterschiedliche ""Karriere-Interessen"" von Menschen aus Südostasien und der Karibik, über ""junge Mädchen"", die Angst davor hätten, ""dass der Ball hart nach ihnen getreten wird"", und darüber, dass das offene Ausleben von Homosexualität eine ""Lebens-Entscheidung"" sei. Er redete und redete und wie selbstverständlich breitete er rassistische, sexistische und homophobe Klischees aus.",Sport,Kultur
7187,1. Die EU wirft dem US-Konzern Apple den Missbrauch seiner Marktmacht vor und droht mit hohen Geldbußen,Nachrichten,Kultur
1856,"Die Generalmusikdirektoren und Chefdirigenten sowie Intendantinnen und Intendanten von 21 Berliner Opern- und Konzerthäusern sowie Theatern haben sich in einem offenen Brief an die Bundeskanzlerin, den Regierenden Bürgermeister sowie die Berliner Wissenschaftssenatorin und den Kultursenator gewandt: »Wir fordern, die von uns geleiteten Institutionen zum nächstmöglichen Zeitpunkt, auf jeden Fall aber in Gleichklang mit dem Einzelhandel zu öffnen«, heißt es in dem Schreiben an Angela Merkel, Michael Müller, Ramona Pop und Klaus Lederer.",Kultur,Nachrichten
4832,Der ehemalige Boxweltmeister »Marvelous« Marvin Hagler ist im Alter von 66 Jahren gestorben. Das bestätigte seine Frau Kay G. Hagler am Samstag (Ortszeit). Details zur Todesursache wurden nicht genannt.,Sport,Kultur
5648,"Kein Pfingstwunder, nirgendsPfingsten ist das Fest des Heiligen Geistes. Was es mit dem auf sich hat, ist so leicht nicht zu verstehen. Dies aber ist theologische Absicht. Hier geht es ja um überirdische Mächte, die aus sich heraus geheimnisvoll sein sollen. Grob zusammengefasst lässt sich sagen, dass dieser Geist, wenn er denn über einen kommt, neue Kraft bewirkt. Der Besuch des Heiligen Geistes gilt als »Pfingstwunder«.Missbrauchsfälle und ihre Vertuschung, das Verbot, Frauen Priesterinnen werden zu lassen – vielen Katholiken sind die Skandale und starren Regelungen zu viel geworden. Sie wenden sich ab. Und das ist längst kein Wunder mehr. Es sind auch Gläubige, die das tun, und zwar nicht, weil sie überzeugt sind von dem Schritt, sondern weil sie nicht wissen, wie sie sonst zeigen sollen, dass sich in ihrer Kirche etwas ändern muss.",Nachrichten,Kultur
6449,"Die langlebigste Tageszeitung der Welt wird im Wiener Schlachthofviertel gemacht. Dort, im dritten Stock eines funktionalen Würfels aus Beton und Glas, sitzt mit Blick über die Dächer der Hauptstadt Walter Hämmerle, Chefredakteur der »Wiener Zeitung«. Sein Thema an diesem Morgen: Wie er verhindern will, dass sein ehrwürdiges Blatt im 318. Jahr des Bestehens den Zeitungstod stirbt.",Nachrichten,Kultur
3416,"SPIEGEL: Herr Becker, wir würden mit Ihnen gern über die Bundesligasaison 1965/1966 von Tasmania Berlin reden …Becker: Ach, es ist jedes Jahr dasselbe (lacht). Sobald ein Team länger nicht mehr gewinnt, kommen die Vergleiche.",Sport,Kultur
5937,"An vielen Orten in Deutschland glichen sich am Wochenende die Bilder. Nach den Tagen mit Eis und Kälte herrschten oft fast frühlingshafte Temperaturen. Ob in Berlin, München, Frankfurt, Köln, Düsseldorf, Hamburg, Stuttgart, Leipzig oder Dresden, vor allem in Großstädten und Ballungsräumen drängte es Menschen in die Parks oder ans Wasser. Oftmals saßen sie dicht gedrängt.",Nachrichten,Kultur
