,haupt_text,category,prediction
10405,"Der Mann hat auch mit einem Messer andere Menschen angegriffen. Die französischen Behörden sagen: Das war ein Terror-Anschlag. Die Polizei hat in Deutschland und Frankreich mit einem Foto nach dem Mann gesucht. Französische Polizisten haben den Mann nach 2 Tagen gefunden und erschossen. Er hat sich gegen seine Festnahme gewehrt. Der Mann war 29 Jahre alt. Gerichte in Frankreich und Deutschland haben den Mann schon viele Male verurteilt. Er war in Häuser eingebrochen und war gewalttätig. Die Polizei sucht auch den Bruder von dem Mann. Die Polizei glaubt: Als der Mann das letzte Mal im Gefängnis war, ist er vielleicht ein Islamist geworden. Die französischen Behörden sagen: Der Mann war ein Gefährder. Ein Gefährder ist jemand, der vielleicht einen Terror-Anschlag machen will. Die Terror-Miliz Islamischer Staat hat erklärt: Wir haben den Anschlag in Straßburg geplant.",Nachrichten,Kultur
11141,"Was war im Jahr 2015 wichtig? Zum Jahres-Wechsel erinnern sich viele Menschen daran, was in den vergangenen Monaten passiert ist. Auf diesen Seiten können Sie lesen, welche Nachrichten wir beim Radio-Sender Deutschlandfunk am wichtigsten fanden: in Deutschland und in der ganzen Welt. Wie immer bei Nachrichtenleicht erklären wir alles in einfacher Sprache. Wenn ein besonders schwieriges Wort vorkommt, dann können Sie unter dem Text eine Erklärung nachlesen. Aus den Erklärungen ist schon ein ganzes Wörter-Buch geworden. In diesem Wörter-Buch können Sie auch stöbern. Nachrichtenleicht hat im vergangenen Jahr immer mehr Leser und Hörer gefunden. Und diese Seite hat sogar einen Preis von der Bundes-Regierung bekommen. Wir in der Redaktion freuen uns darüber sehr. Wir möchten uns für das Interesse herzlich bedanken und wünschen: Alles Gute für das neue Jahr 2016!",Nachrichten,Kultur
8809,"Die Deutsche Fußball-Liga hat zugesagt, mehr als 1 Million Euro zu überweisen. Das Geld geht an das Bundes-Land Bremen. Die Landes-Regierung hatte der Fußball-Liga vorher mehrere Rechnungen geschrieben. Die Landes-Politiker aus Bremen sagen: Die Fußball-Liga verdient mit den Spielen viel Geld. Deshalb ist es richtig, wenn die Liga auch für die Kosten zahlt. Denn sonst müssen alle Bürgerinnen und Bürger die Kosten von ihren Steuern bezahlen. Die Fußball-Liga ist nicht einverstanden. Sie sagt: Das Land muss für Sicherheit sorgen. Deshalb muss auch das Land für die Polizei-Einsätze bezahlen. Die Liga hat deshalb gegen die Rechnungen vom Land vor Gericht geklagt. Die Gerichte haben noch nicht entschieden. Aber die Liga musste jetzt trotzdem erstmal zahlen.",Sport,Nachrichten
10342,"Die Bundes-Regierung hat beschlossen: Wir erhöhen die Zuschüsse. Azubis können diese Zuschüsse beantragen. Und zwar dann, wenn ihr Betrieb zu weit weg ist, um weiter bei den Eltern zu wohnen. Und wenn ihr Gehalt nicht reicht, um Miete, Essen und die Fahr-Kosten zu bezahlen. Die Zuschüsse vom Staat sollen in 2 Schritten um 101 Euro pro Monat angehoben werden. Außerdem sollen Menschen mit Behinderung für ihre 1. Ausbildung mehr Geld bekommen.",Nachrichten,Kultur
8585,"Die Bundes-Regierung und die Bundes-Länder haben dafür verschiedene Regeln beschlossen. Wenn sich in einer Region innerhalb von 7 Tagen weniger als 50 von 100.000 Menschen mit dem Corona-Virus anstecken, dürfen an der frischen Luft bis zu 10 Menschen zusammen trainieren. Sie dürfen aber nur Sport machen, bei dem sie sich nicht berühren. Wenn sich mehr als 50, aber weniger als 100 Menschen anstecken, dürfen 2 Menschen zusammen draußen trainieren. Eine Ausnahme gilt für Kinder: Bis zu 20 Kinder können zusammen Sport machen. Die Schwimm-Bäder bleiben aber vorerst geschlossen. Das bedeutet: Schwimm-Kurse sind noch nicht möglich. Die Schwímm-Verbände warnen vor den Folgen. Sie sagen: Viele kleine Kinder werden nicht Schwimmen lernen. Das ist lebens-gefährlich.",Sport,Nachrichten
7579,"Die Kirche Notre-Dame ist sehr alt. Der Bau hat im 12. Jahrhundert begonnen, also vor fast 900 Jahren. Notre-Dame steht mitten in Paris auf einer Insel in dem Fluss Seine. Jedes Jahr besuchen Millionen Menschen aus aller Welt die Kirche. Besonders bekannt ist der Blick auf die beiden großen Türme. Es ist noch nicht klar, wie das Feuer angefangen hat. Vielleicht hat es mit Bau-Arbeiten zu tun. An der Kirche wurde gerade viel repariert. Der Brand war wohl zuerst oben im Dach. Er hat sich schnell vergrößert, weil das Dach vor allem aus Holz gebaut war. Es sind 500 Feuerwehr-Leute gekommen. Sie haben viele Stunden gebraucht, um den Brand zu löschen. Der Präsident von Frankreich heißt Emmanuel Macron. Er hat gesagt: Wir reparieren die Kirche. Viele Politikerinnen und Politiker aus aller Welt haben gesagt: Wir wollen Frankreich helfen. Auch die deutsche Bundes-Kanzlerin hat das gesagt. Sie heißt Angela Merkel. Fachleute diskutieren jetzt darüber, wie man die Kirche am besten repariert. Es geht um die Frage, ob man sie möglichst genauso wieder baut, wie sie war. Oder ob man zum Beispiel für das Dach Metall oder andere Stoffe verwendet. Denn dann könnte es nicht mehr so leicht brennen.",Kultur,Nachrichten
8508,"17 Politiker und 17 Experten haben sich in den vergangenen 3 Jahren immer wieder getroffen. Der Bundestag hatte ihnen den Auftrag gegeben, gründlich über eine Politik für das Internet nachzudenken. Jetzt hat die Gruppe ihren letzten Bericht vorgelegt. Der Bericht ist sehr lang, er hat über 2.000 Seiten. Ein Vorschlag aus der Gruppe ist, ein Internet-Ministerium zu gründen. Damit sind aber nicht alle aus der Gruppe einverstanden. Manche finden auch, dass es reicht, wenn ein Mitarbeiter von einem Minister sich um die Internet-Politik kümmert. Alle Experten und Politiker aus der Gruppe finden aber, dass der Bundestag sich mehr mit Internet-Politik beschäftigen muss.",Kultur,Nachrichten
10336,"5G bedeutet 5. Generation. Mit 5G sollen Daten ungefähr 100 Mal schneller übertragen werden, zum Beispiel auf Mobil-Telefone. Die neue Technik braucht man auch für viele andere Dinge. Zum Beispiel für Autos, die ohne Fahrer fahren können. Darum wird 5G vor allem in der Nähe von Auto-Bahnen aufgebaut. Man braucht 5G auch in der Industrie oder in der Landwirtschaft. Das schnelle Internet soll bis zum Jahr 2022 fast alle Menschen in Deutschland erreichen. Bei der neuen Technik wollen vier große Firmen mitmachen. Sie heißen Deutsche Telekom, Telefónica, Vodafone und Drillisch. Sie machen bei einer Versteigerung mit. Das heißt: Sie bieten viel Geld, um eine Erlaubnis für 5G zu bekommen. Es bleiben aber viele Fragen. So weiß man noch nicht, welche Folgen 5G für die Gesundheit hat. Mobil-Funk braucht Strahlen, um zu funktionieren. Fachleute müssen aber erst herausfinden, ob die Strahlen von der neuen Technik vielleicht gefährlich sind.",Nachrichten,Kultur
11361,"Männer der Bande Boko Haram sind mit Gelände-Wagen in einen Ort in Nigeria gefahren. Dort haben sie um sich geschossen. Der Ort heißt Biu und liegt im Norden von Nigeria. Die Soldaten von der Regierung in Nigeria haben mit den Männern gekämpft. Nach den Kämpfen waren fast alle Angreifer tot. Die Soldaten haben gesagt, dass sie den Ort Biu und die Menschen dort verteidigt haben. Die Männer von Boko Haram sind Islamisten. Sie kämpfen dafür, dass ihre Religion das ganze Leben und auch die Politik in Nigeria bestimmt. Deshalb greifen sie schon seit 2009 immer wieder Orte und Menschen in Nigeria an. In letzter Zeit haben die Männer von Boko Haram auch mit den Soldaten im Nachbar-Land Kamerun gekämpft. Ein besonders schlimmer Angriff von Boko Haram war Anfang Januar. Die Gruppe hat im Norden von Nigeria die Stadt Baga und Orte in der Nähe überfallen. Boko Haram hat auch eine Militär-Station angegriffen und die Soldaten verjagt. Danach haben sie die Region um die Stadt Baga unter ihre Kontrolle gebracht. Dabei haben sie viele Menschen getötet. Die Regierung in Nigeria sagt, dass Boko Haram dort 150 Menschen getötet hat. Allerdings glauben Menschen-Rechts-Organisationen, dass noch mehr Menschen getötet wurden.",Nachrichten,Kultur
11374,"Das Parlament hat den Bericht am Dienstag, den 9. Dezember veröffentlicht. In dem Bericht steht, dass die Folter schlimmer war als man bisher gedacht hat. Gefangene wurden nicht nur geschlagen und gequält. Sie durften oft auch lange nicht schlafen - manchmal tagelang nicht. Weil Folter eigentlich auch in den USA verboten ist, hat die CIA in Gefängnissen in anderen Ländern gefoltert. Zum Beispiel in dem US-Gefangenen-Lager namens Guantanamo in dem Land Kuba. Oder in Gefängnissen in dem Land Polen. Die Regierung von Polen hat jetzt zugegeben, dass sie der CIA erlaubt hat, Gefangene in ihrem Land einzusperren. In dem Bericht steht auch, dass die CIA der Regierung nicht gesagt hat, dass sie Gefange so oft und so schlimm quält. Die CIA hat vor allem in den Jahren nach den Terror-Anschlägen von 2001 in den USA gefoltert. Sie wollte herausbekommen, ob es noch mehr Anschlags-Pläne gibt. Aber in dem Bericht steht, dass die CIA durch die Folter nur ganz wenige wichtige Informationen bekommen hat. Die Folter war also nicht nur gegen das Gesetz, sie war auch nutzlos. Viele Menschen auf der Welt und viele Regierungen sind entsetzt darüber, dass ein Land wie die USA Menschen so etwas antut. Sie fordern: Diejenigen in den USA, die die Folter befohlen haben, müssen vor Gericht. Auch die deutsche Regierung hat gesagt, dass sie die CIA-Folter schlimm findet. Der frühere Vize-Präsident von den USA namens Dick Cheney hat die Folter verteidigt. Er hat gesagt: Die Folter war nötig, um weitere Terror-Anschläge gegen die USA zu verhindern.",Nachrichten,Kultur
11272,"Der Bericht wird auch ""Welt-Hunger-Bericht"" genannt. Die UNO schreibt den Bericht jedes Jahr. In diesem Jahr steht in dem Bericht: Fast 800 Millionen Menschen haben nicht genug zu Essen. Das sind 10 Millionen Menschen weniger als vor einem Jahr. Die UNO hat gesagt: Das zeigt: Wir können den Hunger irgendwann ganz besiegen. Eine andere Organisation hat gesagt: Wir haben noch lange nicht genug erreicht. Die Regierungen müssen noch viel mehr gegen den Hunger tun. Die Organisation heißt ""Welt-Hunger-Hilfe"". Die Organisation kümmert sich um hungrige Menschen auf der ganzen Welt. Zum Beispiel auf den Kontinenten Afrika und Asien. Dort haben immer noch sehr viele Menschen Hunger. Gründe für den Hunger sind zum Beispiel: Kriege oder Umwelt-Katastrophen. Ein großes Problem ist auch: Das Essen auf der Welt ist ungerecht verteilt. Die Menschen in den armen Ländern müssen hungern. Die Menschen in den reichen Ländern haben sogar mehr Essen als sie brauchen. Die Menschen in den reichen Ländern schmeißen auch viel Essen weg. Zum Beispiel auch in Deutschland. Die UNO sagt: Das ist Verschwendung.",Nachrichten,Kultur
7416,"Die Glocke von der Kathedrale in Paris hat geläutet, um an den Brand zu erinnern. Eine offizielle Veranstaltung gab es aber nicht wegen der Corona-Krise. Die Kirche Notre-Dame soll innerhalb von 5 Jahren wieder aufgebaut werden. Das hat Frankreichs Präsident gesagt. Er heißt Emmanuel Macron. Er sagt auch: Wir werden bald wieder mit den Bau-Arbeiten anfangen. Jetzt wird wegen der Corona-Krise nicht gebaut. Am 15. April 2019 war der Brand ausgebrochen. Es ist noch nicht ganz klar, warum. Wahrscheinlich war es ein technisches Problem oder ein Bau-Arbeiter hat eine Zigarette weggeworfen. Damals wurde die Kirche gerade repariert. Das Feuer war zuerst auf dem Dach und hat sich dann ausgebreitet. Viele Menschen auf der ganzen Welt haben Geld gespendet, damit die Kirche wieder aufgebaut wird. Die Kirche Notre-Dame ist sehr alt. Der Bau hat im 12. Jahrhundert begonnen, also vor fast 900 Jahren. Notre-Dame steht mitten in Paris auf einer Insel in dem Fluss Seine. Jedes Jahr besuchen Millionen Menschen aus aller Welt die Kirche.",Kultur,Nachrichten
7621,"Das Bauhaus wurde 1919 von dem Architekten Walter Gropius in der Stadt Weimar gegründet. Später gab es Schulen in den Städten Dessau und Berlin. Gropius wollte mit dem Bauhaus nach dem 1. Welt-Krieg alltägliche Dinge für moderne Menschen gestalten. Das Bauhaus wurde 1933 auf Druck von den National-Sozialisten geschlossen, weil die Lehrer und die Schüler als politisch eher links-gerichtet galten. Zu den Bauhaus-Künstlern gehören unter anderem Lyonel Feininger und Paul Klee, aber auch Marcel Breuer und Ludwig Mies van der Rohe. Der Bundes-Präsident von Deutschland heißt Frank-Walter Steinmeier. Er hat den Einfluss von dem Bauhaus auf Architektur und Design gewürdigt. Steinmeier hat gesagt: Die Ausbildungs-Stätte hat großartige Dinge geschaffen und die Kultur weltweit beeinflusst.",Kultur,Nachrichten
11694,"Ein amerikanischer Geheim-Dienst hat ein riesiges Computer-Programm. Das ist vor einigen Wochen bekannt geworden. Das Programm heißt PRISM. Damit werden auch in Europa viele Bürger belauscht. Das finden viele Politiker in Deutschand nicht gut. Auch die Bundes-Regierung hat sich schon bei den USA beschwert. Jetzt ist aber herausgekommen, dass ein deutscher Geheim-Dienst auch so ein Computer-Programm benutzt. Es heißt auch PRISM. Journalisten und Politiker in Deutschland haben jetzt viele Fragen. Sie wollen wissen: Was genau wird in diesen Computer-Programmen gespeichert? Wie sehr haben die deutschen Geheim-Dienste bei der Überwachung mitgemacht? Und was wusste die Bundes-Regierung darüber? Geheim-Dienste sind dazu da, ein Land vor Gefahren zu schützen. Sie sollen zum Beispiel herausfinden, ob Terroristen einen Anschlag planen. Deshalb wollen die Geheim-Dienste wissen, was Verdächtige miteinander besprechen. Auf der Suche nach Verdächtigen hören sie aber oft auch normale Leute ab, die keine Terroristen sind.",Nachrichten,Kultur
8657,"Die Stadt Leipzig hat erlaubt: Wegen der Corona-Krise dürfen 8.500 Menschen in das Stadion. In dem Stadion ist eigentlich Platz für 42.500 Menschen. Bei dem Spiel gelten strenge Regeln: Alle Zuschauer müssen eine Gesichts-Maske tragen. Alle müssen Abstand zueinander halten. Außerdem darf die Zahl von Corona-Fällen nicht weiter steigen. Auch andere Bundesliga-Vereine hoffen, dass jetzt Zuschauer bei den Spielen in das Stadion dürfen. Die Gesundheits-Ämter von den Städten entscheiden, ob Zuschauer in das Stadion dürfen oder nicht.",Sport,Nachrichten
