,haupt_text,category,prediction
10648,"Der Präsident von dem Land Polen heißt Andrzej Duda. Er hat neue Gesetze für die Justiz unter-schrieben. Gesetze neu zu machen, nennt man auch Reform. Die Reform betrifft die 2 wichtigsten Gerichte in Polen. Sie heißen Oberster Gerichts-Hof und Nationaler Justiz-Rat. Die Richter in den 2 Gerichten müssen wichtige Entscheidungen für das Land treffen. Die Regierung darf jetzt bestimmen, wer dort arbeitet. Viele Menschen in Polen haben nun Angst. Sie glauben: Die Gerichte sind nicht mehr unabhängig. Auch die EU-Kommission ist in Sorge. Sie sagt: Politiker dürfen den Gerichten nicht hinein-reden. Das geht gegen die Regeln der EU. Deshalb hat die EU-Kommission jetzt ein Verfahren gegen Polen ein-geleitet. Das Verfahren kann in einer Strafe für Polen enden. Aber nur, wenn alle anderen Länder in der EU dafür sind. Das Land Ungarn hat aber schon gesagt: Wir wollen das nicht. Eine Strafe ist zum Beispiel: Polen darf bei Abstimmungen in der EU nicht mehr mit-entscheiden.",Nachrichten,Nachrichten
8391,"In seiner Sendung hat Markus Lanz jede Woche verschiedene Menschen zu Gast. Mit ihnen spricht er dann über unterschiedliche Themen: Zum Beispiel aus der Politik, aus der Kultur oder aus dem Sport. Die Sendung läuft ein Mal in der Woche in dem Fernseh-Sender ZDF. Am Donnerstag, 16. Januar, war Sahra Wagenknecht zu Gast. Sahra Wagenknecht ist eine Politikerin. Sie ist von der Partei ""Die Linke."" Die Linke ist die dritt-stärkste Partei im Bundestag. Markus Lanz hat der Politikerin viele Fragen gestellt. In der Sendung gab es dann eine sehr wilde Diskussion. Viele Zuschauer haben nach der Sendung gesagt: Markus Lanz war nicht fair. Sie sagen: Er hat Sahra Wagenknecht nicht aussprechen lassen. Und er hat sie auch beleidigt. Darüber waren viele Zuschauer sehr wütend. Deshalb haben sie Markus Lanz im Internet kritisiert. Auch Sahra Wagenknecht und ihre Partei haben sich im Internet über Markus Lanz und das ZDF beschwert. Jetzt gib es sogar eine Petition im Internet. Petition bedeutet: Menschen stimmen für oder gegen eine Sache. Dafür geben sie ihre Unterschrift. Die Petition heißt: ""Raus mit Markus Lanz aus meiner Rundfunkgebühr!"" Markus Lanz soll also nicht mehr im ZDF moderieren, damit er kein Geld mehr von der Rundfunk-Gebühr bekommt. Die Rundfunk-Gebühr ist das Geld, das alle Menschen in Deutschland für Radio und Fernsehen bezahlen müssen. Die Online-Petition finden Sie hier.",Kultur,Kultur
7975,"YouTube macht die Videos nicht selbst. Sie gehören den Musikern. In Deutschland konnte man viele Musik-Videos nicht bei YouTube sehen. YouTube hat sich mit der Organisation GEMA gestritten. Die GEMA wollte, dass YouTube den Musikern Geld für die Videos zahlt. YouTube wollte das nicht. Die GEMA ist eine Organisation aus Deutschland. Sie ist für Musiker sehr wichtig. Die meisten Musiker sind Mitglied bei der GEMA. Sie passt zum Beispiel auf, ob Videos von Musikern im Internet gezeigt werden oder im Radio laufen. Nun haben YouTube und die GEMA ihren Streit beendet. Die Musiker sollen Geld von YouTube bekommen. Dafür kann man sich jetzt auch in Deutschland die Videos bei YouTube ansehen.",Kultur,Kultur
8345,"Der Film heißt “Grace of Monaco”. Nicole Kidman spielt in dem Film die Haupt-Rolle. Sie spielt in dem Film eine berühmte Schauspielerin. Diese Schauspielerin heißt Grace Kelly. Grace Kelly ist schon lange tot. Sie hat früher in vielen berühmten Filmen mitgespielt. Zum Beispiel in den Filmen ""Das Fenster zum Hof"" und ""Über den Dächern von Nizza"". Später heiratete sie den Fürsten von dem Land Monaco. Der neue Film läuft auch schon in Deutschland in den Kinos. Im Wettbewerb von Cannes kann er aber keinen Preis gewinnen. Das können nur die 18 Filme, die vorher für den Wettbewerb ausgewählt wurden. Das Film-Festival dauert 10 Tage. Am Ende bekommen einige Filme Preise. Die Preise in Cannes heißen Palmen: Es gibt eine Goldene Palme und mehrere Silberne Palmen zu gewinnen. Eine Gruppe von Film-Experten entscheidet, wer die Preise bekommt. Die Chefin dieser Gruppe ist in diesem Jahr die Filme-Macherin Jane Campion. Sie kommt aus dem Land Neuseeland. Cannes ist eine kleine Stadt im Süden von Frankreich. Dort gibt es jedes Jahr im Frühling ein berühmtes Film-Festival. Viele Film-Stars kommen zu dem Festival.",Kultur,Kultur
8335,"Den Friedens-Preis bekommt jedes Jahr ein anderer Schriftsteller. Es ist ein Preis von den deutschen Buch-Händlern. In diesem Jahr haben sich die Buch-Händler für den Schriftsteller Jaron Lanier entschieden. Das neueste Buch von Jaron Lanier heißt: ""Wem gehört die Zukunft?"" Darin geht es darum, wie frei sich die Menschen im Internet bewegen können. Jaron Lanier warnt davor, dass Geheim-Dienste das Internet überwachen. Und er warnt davor, dass große Technik-Firmen zu viel Macht bekommen. Der Friedens-Preis des deutschen Buch-Handels wird immer im Herbst überreicht. Die Preis-Verleihung ist der Abschluss der Buch-Messe in der Stadt Frankfurt am Main.",Kultur,Kultur
8658,Rebensburg hat sagt: Ich habe mich im Frühjahr verletzt. Ich bin nicht nicht mehr schnell und ich bin nicht mehr gut genug. Rebensburg ist 30 Jahre alt. Sie hat 2010 bei den Olympischen Spielen den Riesen-Slalom gewonnen. Sie hat viele Medaillen gewonnen und 3-mal den Welt-Cup.,Sport,Sport
10716,"Juncker hat seine Rede im Europäischen Parlament gehalten. Weil er viele wichtige Themen angesprochen hat, sagt man auch ""Grundsatz-Rede"". Juncker hat viele Vorschläge gemacht, wie er sich die Zukunft der EU vorstellt. Er hat gesagt: Es müssen auch weitere Länder in den Schengen-Raum kommen. So nennt man ein Gebiet von vielen europäischen Ländern, in denen es keine Kontrollen mehr an den Grenzen gibt. Juncker sagt: auch Rumänien und Bulgarien sollen dazugehören. In Junckers Rede hat man gemerkt, wie wichtig ihm die EU ist. Er hat gesagt: Ich bin mit der EU durch dick und dünn gegangen. Er meint damit, dass er sich in guten und in schwierigen Zeiten für die EU eingesetzt hat.",Nachrichten,Nachrichten
7872,"Salvador Dalí ist vor 28 Jahren gestorben. Er hat viele Bilder gemalt. Er hat aber auch Figuren gemacht und Texte geschrieben. Dalí hat immer gesagt: Ich habe keine Kinder. Eine Frau in Spanien sagt aber: Das stimmt nicht. Ich bin seine Tochter. Die Frau heißt Pilar Abel Martínez. Sie ist 61 Jahre alt. Das Gericht hat entschieden: Es gibt einen Vaterschafts-Test. Einen solchen Test machen Spezialisten im Labor. Sie brauchen dafür Erb-Informationen von der Frau und von Dalí. Erb-Informationen gibt es in jeder Körper-Zelle, auch in den Knochen. Bei Dalí sind die Knochen das einzige, was noch von ihm übrig ist. Deshalb müssen die Forscher seine Knochen ausgraben. Sie vergleichen dann die Erb-Informationen von ihm und der Frau. Wenn sie an bestimmten Stellen gleich sind, kann das bedeuten: Dalí ist der Vater.",Kultur,Kultur
7950,"Die Elb-Philharmonie liegt direkt an dem Fluss Elbe. Der Fluss fließt durch Hamburg. Daher hat das Konzert-Haus seinen Namen. Die Elb-Philharmonie steht auf einem alten Lager-Haus. Das Lager-Haus ist aus rotem Back-Stein. Das Konzert-Haus ist außen aus Glas. Es hat ein besonderes Dach. Es sieht aus wie eine Welle. Der Bau sollte eigentlich schon vor 6 Jahren fertig sein. Das hat aber nicht geklappt. Es gab Streit. Dabei ging es zum Beispiel um die Kosten. Die Elb-Philharmonie ist viel teurer geworden, als das vorher geplant war. Sie hat fast 790 Millionen Euro gekostet. Am 11. Januar ist das Eröffnungs-Konzert. Die Karten sind schon lange ausverkauft. Auch für die Konzerte danach sind schon viele Karten verkauft. Es kommen berühmte Musiker und Dirigenten.",Kultur,Kultur
10334,"Der Chef von der Fidesz-Partei heißt Viktor Orban. Er ist auch Regierungs-Chef von Ungarn. In den letzten Monaten hat es immer wieder Streit um Orban und seine Partei gegeben. Viele Politiker sagen: Die Politik von Fidesz ist nicht gut für Europa. Es ist keine demokratische Politik mehr. Sie sagen: In Ungarn dürfen viele Menschen nicht mehr offen sagen, was sie denken. Besonders viel Ärger hat es gegeben, als die Fidesz-Partei in Ungarn viele Plakate in den Straßen aufhängte. Die Plakate waren kritisch gegen den Chef von der EU-Kommission. Er heißt Jean-Claude-Juncker. Am Ende haben sich die Chefs von der EVP getroffen. Sie haben beschlossen: Die Fidesz-Partei ist die nächste Zeit kein Mitglied mehr bei uns. Sie darf nicht mehr auf unseren Konferenzen dabeisein. Sie muss erst beweisen, dass sie noch für unsere Werte ist. Nach der Entscheidung haben Politiker von anderen Parteien in Europa gesagt: Das war nicht genug. Sie sagen: Die EVP hätte die Fidesz-Partei für immer rauswerfen sollen.",Nachrichten,Nachrichten
11233,"Vor 2 Wochen hat es in der Türkei einen schlimmen Anschlag gegeben. 32 Menschen sind gestorben. Die Polizei glaubt, dass ein Mann von der Terror-Gruppe IS die Menschen getötet hat. IS heißt „Islamischer Staat"". Seitdem greift die türkische Armee Lager von dem IS in den Ländern Syrien und Irak an. Aber sie wirft auch Bomben auf Lager von der PKK. Das ist eine Organisation, die ein eigenes Land für die Kurden will. Die PKK ist verboten, weil sie Anschläge macht. Sie hat in den vergangenen Tagen mehrere türkische Polizisten und Soldaten getötet. Die Regierung von der Türkei sagt: Die PKK ist genau so schlimm wie der IS. Darum greifen wir sie an. Andere Regierungen sagen: Die Kurden helfen in Syrien und im Irak beim Kampf gegen den IS. Diese Regierungen sind besorgt. Sie haben Angst, dass noch viele Menschen sterben werden. Auch Kurden aus anderen Ländern protestieren gegen die Türkei. Sie glauben, dass der Präsident von der Türkei eigentlich etwas anderes will. Der Präsident heißt Recep Tayyip Erdogan. Bei der letzten Wahl in der Türkei hat seine Partei viele Stimmen verloren. Die Partei der Kurden hat dagegen viele Stimmen bekommen. Die Regierungen von anderen Ländern glauben: Erdogan will Neuwahlen. Er hofft, dass seine Partei dann wieder mehr Stimmen bekommt.",Nachrichten,Nachrichten
8923,"Wenn die Saison zu Ende ist, geht Pulisic zu dem Verein FC Chelsea aus dem Land Groß-Britannien. Dafür muss der Verein FC Chelsea 64 Millionen Euro an Borussia Dortmund zahlen. Pulisic ist 20 Jahre alt. Er kommt aus dem Land USA. Er spielt seit 2015 bei Borussia Dortmund. Sein Vertrag sollte erst 2020 zu Ende sein.",Sport,Sport
11108,"Die Regierungen von Österreich und von neun Ländern vom Balkan haben die Vereinbarung am Mittwoch, 24. Februar, gemacht. Zu den neun Balkan-Ländern gehören zum Beispiel Serbien, Kroatien und Albanien. Durch die Balkan-Länder und durch Österreich kommen besonders viele Flüchtlinge. Die Länder haben in der österreichischen Haupt-Stadt Wien zum Beispiel beschlossen: Wir wollen gemeinsame Regeln, welche Flüchtlinge nicht einreisen dürfen. Und wir wollen gemeinsame Regeln, wie wir die Einreise von Flüchtlingen in unsere Computer-Systeme eintragen. Die Länder haben gesagt: Wir haben das verabredet, weil so viele Flüchtlinge an unsere Grenzen kommen. Dagegen wird in der Europäischen Union zu wenig getan. Der Regierungs-Chef von Griechenland heißt Alexis Tsipras. Er hat sich über das Treffen geärgert, weil sein Land nicht eingeladen war. In Griechenland kommen nämlich besonders viele Flüchtlinge an. Sie kommen mit Booten über das Mittel-Meer und wollen dann über den Balkan weiterreisen. Tsipras hat auch gesagt: Wenn die anderen Länder von der Europäischen Union nicht viel mehr von diesen Flüchtlingen aufnehmen, dann arbeiten wir in der Flüchtlings-Krise nicht mehr mit ihnen zusammen. In dem Land Ungarn hat die Regierung eine Volks-Abstimmung über die Flüchtlinge beschlossen. Die Regierung hat gesagt: Die Menschen in Ungarn sollen entscheiden, ob wir Flüchtlinge aus Griechenland aufnehmen.",Nachrichten,Nachrichten
11297,"Fach-Leute haben das Gewehr G36 genau untersucht. Sie sagen: Ja, das Gewehr schießt manchmal ungenau. Und zwar dann, wenn es feucht oder heiß wird. Ministerin von der Leyen hat deshalb entschieden: Das Gewehr ist unbrauchbar. Die deutschen Soldaten brauchen neue Gewehre. Jetzt soll ein besseres G36-Gewehr gebaut werden. Oder die Bundeswehr kauft ganz andere Gewehre. Zur Zeit hat die Bundeswehr mehr als 160.000 G36-Gewehre. Die Gewehre werden von der Firma Heckler und Koch gebaut. Sie wehrt sich gegen die Vorwürfe. Heckler und Koch sagt: Die Untersuchungen von den Fach-Leuten waren ungenau. Politiker von den Grünen und von der Linken kritisieren das Verteidigungs-Ministerium. Sie sagen: Ministerin von der Leyen und ihr Vorgänger Thomas de Maizière haben viel zu lange gewartet, bis sie das Problem angepackt haben. Politiker von der Regierung verteidigen die beiden. Sie sagen: Die Minister mussten erst genau prüfen, ob das Gewehr wirklich schlecht schießt. Das hat nun mal eine Zeit lang gedauert.",Nachrichten,Nachrichten
9861,"In Deutschland stecken sich immer noch viele Menschen mit dem Corona-Virus an. Die Zahlen verändern sich jeden Tag. Wenn man sich den Durchschnitt ansieht, kommen jeden Tag ungefähr 20.000 neue Ansteckungen dazu. Bis Ende Januar gelten deshalb strenge Corona-Regeln. Die Regeln sollen helfen, dass sich nicht so viele Menschen anstecken. Inzwischen sind einige hundert-tausend Menschen in Deutschland gegen die Krankheit Covid-19 geimpft. Das ist die Krankheit, die man vom Corona-Virus bekommen kann. Zuerst werden Pflege-Kräfte, einige Ärztinnen und Ärzte und Menschen über 80 Jahren geimpft. Das Impfen fängt langsam an, weil es noch nicht so viel Impf-Stoff gibt. Gesundheits-Minister Jens Spahn sagt: Bis zum Sommer wird es genug Impf-Stoff für alle geben. Politikerinnen und Politiker von anderen Parteien sagen: Andere Länder schaffen das schneller. Sie sagen: Spahn hätte mehr Impf-Stoff für Deutschland kaufen müssen. Streit gibt es auch über eine Impf-Pflicht. Minister Spahn hat immer wieder gesagt: Das Impfen ist ein Angebot, es muss für alle freiwillig bleiben. Andere Politiker wollen eine Pflicht für Menschen, die in der Alten-Pflege arbeiten.",Nachrichten,Nachrichten
